StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q19,Q20,Q21,player_id,survey_id
8/24/2021 16:51,8/24/2021 18:29,IP Address,207.151.52.95,100,5885,TRUE,8/24/2021 18:29,R_28CWKU4S1QavKsd,,,,,34.03219604,-118.2835999,anonymous,EN,9,Male,,1-3 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),6,7 (Highly familiar),6,5,4,1 (No effort at all),2,1 (No effort at all),2,3,5,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,3,"Small first, bolt first. Easier first than harder",Yes,Yes,Yes,No,Mental effort is much more important than physical effort. Familiarity: familiar first. Screwing bolt requires less mental effort than inserting wire.,Prior fatigue level,4,7 (Highly familar),4,7 (Highly familar),6,7 (Highly familar),7 (Highly familar),7 (Highly familar),2,2,1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),"Propeller first, too many elements, did it first to be sure. Main second, tail wing second will be inconvinient or broken the tail. ",No,Yes,No,Yes,"Importance: peropeller first due to messed  up the orientation of the blades. Mental effort: the same reason, hardest to easiest.",Not wanting parts to break.,2,2,79828,74020
8/25/2021 14:10,8/25/2021 16:25,IP Address,207.151.52.145,100,8139,TRUE,8/25/2021 16:25,R_56fgCpuuqilohGN,,,,,34.03219604,-118.2835999,anonymous,EN,10,Male,,1-3 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),6,6,2,5,1 (No effort at all),1 (No effort at all),3,3,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),4,4,"Bolts and screw first because it takes more time, big box first becaus it takes longer",Yes,No,No,No,long bolts requires more effort,Actions that longer time and more effort will have priority,7 (Highly familar),7 (Highly familar),7 (Highly familar),5,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,"Major part on the airplane body first, and then do the screwing. Main wing for supporting the body. Left to right: propeller to tail",No,No,Yes,Yes,"Most familiar action in the end
",Main wing helps to suport the body and make other tasks easier. Left to right.,3,3,69383,30497
8/25/2021 16:29,8/25/2021 17:52,IP Address,207.151.52.145,100,4953,TRUE,8/25/2021 17:52,R_9FG5oqum7Qb7jXz,,,,,34.03219604,-118.2835999,anonymous,EN,11,Male,,4-7 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),2,4,1 (No effort at all),1 (No effort at all),2,3,2,2,2,2,2,3,"Max effort first, wire requires more effort (with gloves)",Yes,No,No,No,Long wire and long bolt first due to physical effort,NA,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),3,2,2,2,2,2,2,2,2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),"Tail wing is easy, small screw in propeller needs more attention, main/tail wing screws are relvatily easy and better to do them together, attaching the propeller is the easiets/last",Yes,Yes,No,No,"Prefer physically demanding actions first
Prefer mentally less demanding actions first
",NA,2,6,10888,54329
8/26/2021 12:22,8/26/2021 14:59,IP Address,207.151.52.156,100,9405,TRUE,8/26/2021 14:59,R_28I3oXkrNmGEhsd,,,,,34.03219604,-118.2835999,anonymous,EN,12,Male,,4-7 assemblies,6,6,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),6,6,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),"Bolts were easier. R requires more effort than L, so long wire before short.",Yes,No,Yes,No,Physical effort: R before L. Bolts before wires.,NA,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),1 (No effort at all),2,1 (No effort at all),2,1 (No effort at all),1 (No effort at all),1 (No effort at all),2,2,2,2,2,1 (No effort at all),1 (No effort at all),2,2,"Main wing first as larger part. Then the smaller parts. Tail was easier part, especially after main wing when the plane is inverted. Screw first as dont want wing to come out.",Yes,No,Yes,Yes,Main parts first. Screwing was go to (familiar).,NA,6,3,59419,96813
8/26/2021 15:02,8/26/2021 16:26,IP Address,207.151.52.156,100,5031,TRUE,8/26/2021 16:26,R_3QEuPIOcW1WdTC3,,,,,34.03219604,-118.2835999,anonymous,EN,13,Male,,1-3 assemblies,6,6,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),5,5,1 (No effort at all),4,1 (No effort at all),4,5,5,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),5,5,"Wires took more time than bolts, so did first. R takes more time than L, so first. Bolts done randomly.",Yes,Yes,No,No,Wire required more physical and mental effort.,Wanted to do wires first.,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),1 (No effort at all),6,1 (No effort at all),6,7 (A lot of effort),3,2,2,1 (No effort at all),3,1 (No effort at all),3,4,2,2,2,"Propeller takes time so did it first. Tail wing is smaller and has just one screw, so do it before main wing. Could have done all screwing of wings at once, but it was preferrable to finish one part first.",Yes,Yes,No,No,"Actions that take more time, prefer to do at the start. Mental effort was for propeller as need hold many parts.",NA,4,6,65678,29899
8/26/2021 16:35,8/26/2021 17:49,IP Address,207.151.52.156,100,4432,TRUE,8/26/2021 17:49,R_1JEnbsbz9KuLpMl,,,,,34.03219604,-118.2835999,anonymous,EN,14,Male,,1-3 assemblies,6,5,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),2,1 (Not at all familiar),6,7 (A lot of effort),5,3,4,6,2,3,1 (No effort at all),1 (No effort at all),6,7 (A lot of effort),"Devide it into small and large box, and prefer small first because taking less time. Wire: more mental effort, more familiar with bolts so latter.",No,Yes,Yes,No,Same as above.,"Doing small part first, if both things are connected order will be different. ",3,4,2,2,4,5,6,6,6,3,5,3,2,5,4,3,5,2,6,3,4,3,3,3,Propeller first : easier to move around the whole plane than other parts. Tail: less physical effort and eaiser to move around.,Yes,No,No,Yes,"Importance: attach the main wing last, less power to move around and mre space. ",N/A,3,1 (Not at similar),30450,84196
2022-02-11 16:27:04,2022-02-11 17:57:27,IP Address,68.181.17.195,100,5422,True,2022-02-11 17:57:28,R_2WYn3rra5sCjHVV,,,,,34.0446929931641,-118.29460144043,anonymous,EN,16,Female,,4-7 assemblies,3,3,7 (Highly familiar),6,7 (Highly familiar),6,6,5,1 (No effort at all),2,1 (No effort at all),1 (No effort at all),3,4,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,3,Short wire as warmup for long wire. Wires require more focus so before bolts. Left to right so small box to large box.,Yes,Yes,Yes,No,little bit physical and mental,,5,5,5,5,5,5,4,4,2,2,2,2,2,2,1 (No effort at all),1 (No effort at all),2,1 (No effort at all),2,1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),Similar types of actions consecutively. Have big picture first. Tail wing then main wing insert. All screwing in a row almost. Propeller nut right after to not have to put the ptopeller hub down. ,No,No,No,No,,,2,3,79555,30874
2022-02-22 18:11:17,2022-02-22 20:04:34,IP Address,68.181.17.195,100,6796,True,2022-02-22 20:04:34,R_OAUjeO87I8e8LHH,,,,,34.0446929931641,-118.29460144043,anonymous,EN,17,Male,,1-3 assemblies,4 (Somewhat),5,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),2,4,2,3,2,3,2,3,2,2,2,3,Get boxes and tools in front of me. Screw together. Wires are messy so at the. Short wire gets done faster so first.,Yes,No,Yes,No,Physical effort for switching. Familiar with screwing.,Getting parts - want to have as many parts in the front.,6,5,7 (Highly familar),6,5,6,7 (Highly familar),7 (Highly familar),2,3,2,3,4,3,2,2,1 (No effort at all),2,1 (No effort at all),3,4,3,1 (No effort at all),1 (No effort at all),Wings not first as they are larger in size. Small things first and attach that to main body. Attach propeller to body to give stability (task specific). Screw wings after inserting to prevent them from coming out.,Yes,No,Yes,No,Stability can affect physical effort. Propeller was less familiar so first (not the main reason.. mainly size). ,Very task-specific - size of the parts. Number of components required to build parts - Bring propeller first as it requires a lot of parts. Bringing them later would be less convinient. Airplane body will also take up space so do propellers first.,5,2,77086,50572
2022-02-25 13:59:05,2022-02-25 15:15:46,IP Address,68.181.17.195,100,4600,True,2022-02-25 15:15:46,R_XnXUVOnAXDCVHdD,,,,,34.0321960449219,-118.283599853516,anonymous,EN,18,Female,,4-7 assemblies,6,6,7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),2,3,2,2,2,2,2,3,2,2,2,3,"I would choose to perform the actions in the following order: (1) insert the short bolt, (2) screw in the short bolt, (3) insert the long bolt, (4) screw in the long bolt, (5) insert the short wire, (6) insert the long wire.  I chose this sequence of actions because it is easy to insert and then right away screw in the 2 bolts (first starting with the short bolt because it is easier) then I chose to insert the short wire followed by the long wire, simply because making an R with the long wire is harder. Overall more familiar with screw than wire, so do screws first.",Yes,Yes,Yes,No,"The shorter screw is the action that is the easiest task physically and mentally to do therefore i chose to do that task first and the longer screw second because it is more difficult than the shorter screw.  As for the wires, i was more familiar with screwing in bolts than i was manipulating wires so i chose to handle the wires after the bolts. i chose to do the short wire first because creating an L was easier mentally than creating an R with the long wire.","I decided to screw in the bolts right after inserting them so that i could complete the task rather than coming back to screw them in, i though this would make the process more efficient and timely.",6,6,6,6,6,6,6,6,2,2,2,2,2,3,2,2,3,3,3,3,4,3,3,3,"(1) insert the tail wing, (2) insert the long bolt into tail wing, (3) screw in the long bolt into the tail wing, (4) insert the main wing, (5) insert the 4 long bolts in the main wing, (6) screw in the 4 long bolts in the main wing, (7) screw propellers, (8) screw propeller with base nut.  I chose to build the airplane in this order by starting from the back woith the tail wing becuase it only involves inserting the tail wing and 1 screw and completeing all the actions in that section before moving on to the middle then the front. I chose to do the middle second because the actions are more complex than the tail wing but easier than the front propeller.  The middle wing actions involve inserting the wing in the position where the connectors line up and there are 4 bolts to screw in rather than 1.  I chose to start from the back becuase it involves the easiest actions whereas the front involves the building of the propeller which i believe is the hardest part both mentally and physically",Yes,Yes,Yes,Yes,I chose to start from the tail and work my way to the front of the airplane because of the physical and mental effort required for each part.  I chose to start from the tail because it only involved inserting the tail wing and screwing in one bolt which is fairly easy for me and the most familiar.  Then I chose to insert the middle wing because the level of difficulty mentally and physically increased with the addition of inserting the wing with connectors and 4 screws rather than 1.  I chose to end with the front propeller because it was the most difficult and the least familiar to me.  It was relatively difficult both mentally and physically because when building the propeller you have to flip the propeller in order for the bolt and nut to connect and as you add more propeller wings to the propeller the task becomes increasingly more difficult.  When attaching the propeller to the airplane the physical difficulty is making sure to move the airplane front off the table in order for the propeller to fit.  With all of these tasks  I considered the importance of actions by inserting and screwing in the bolts on after another to make sure the parts stay together.,NA,3,7 (Very similar),24613,18978
2022-02-25 18:42:39,2022-02-25 19:29:53,IP Address,68.181.17.195,100,2834,True,2022-02-25 19:29:54,R_2fr1e6z5zmdvjeT,,,,,34.0321960449219,-118.283599853516,anonymous,EN,19,Female,,More than 8 assemblies,7 (Highly),7 (Highly),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),6,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,3,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),2,2,Short wire is easier wire first. Do short bolt and wire together as same part. Short bolt slightly easier so before wire but doesn't matter much. Long wire more time taking than long bolt.,Yes,Yes,No,No,Wire high mentlal and physical effort.,,6,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),3,1 (No effort at all),1 (No effort at all),2,1 (No effort at all),1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),Main wing first to balance and screw it so it doesn't come out. Tail wing as same orientation of body to previous action. Propeller last as would have to flip the plane.,No,No,No,Yes,Main wing was important to balance.,,5,1 (Not at similar),24460,52422
2022-02-15 14:59:51,2022-02-15 16:00:52,IP Address,68.181.17.195,100,3661,True,2022-02-15 16:00:53,R_1oBepuUh6QMn55p,,,,,34.0446929931641,-118.29460144043,anonymous,EN,20,Female,,4-7 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),5,5,2,3,2,2,2,4,2,2,2,2,2,3,"I insterted the small and long wire together and then switched to the nut screwing activity, so that I could be done with one activity at one time.",No,Yes,Yes,No,"Inserting wire in both the boxes required similar kind of attention and tools, so I did them together.","Inserting wires first was just a choice, no specific reason.",6,7 (Highly familar),5,7 (Highly familar),7 (Highly familar),6,7 (Highly familar),7 (Highly familar),2,3,2,3,3,5,2,2,2,3,2,3,3,5,3,3,I chose to first insert main wing and tail wing and then screw them so that i am done with the body of the plane first. Then I screwed the blades to the propeller and then fix it to the plane. i did this later so that it doesn't play a hindrance while doing other tasks.,Yes,Yes,Yes,No,"There was physical effort in holding the plane so I did the wings first, then the propeller.
Screwing blades with propeller required mental effort, so I did it after the body parts.
I put screws to main and tail gate at one time as they were similar.",Chose putting propeller at the end so that the body of the plane doesn't weighs on it ( might damage the blades).,4,6,54607,77243
2022-02-16 19:27:41,2022-02-17 18:56:07,IP Address,68.181.17.195,100,84505,True,2022-02-17 18:56:07,R_1o4QlNHmcshxaPJ,,,,,34.0446929931641,-118.29460144043,anonymous,EN,21,Male,,None,1 (Not at all),1 (Not at all),5,5,5,5,5,5,2,2,1 (No effort at all),1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),"big box insert / crew long bolt (first because it's larger), small box insert / crew short bolt, L wire, and R wire (last becuase it takes longer); the whole small box is like one third of the task; screwing is easier than wiring.",No,No,Yes,No,I am familar with the bolting and weaving the wire through the small holes,"Size of bolts and wire, but not the boxes",4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),1 (No effort at all),"insert main wing, insert tail wing, screw main wing (fix big part first), srew tail wing, propeller blade, propeller hub (propellers last to protect them) ",Yes,Yes,Yes,No,Lifting things other would be handling the parts delicately. and as for mental I needed to think for the holding the screws for propellers and then tightening at the same timing. Propeller hub are also small.,,3,2,68988,35250
2022-02-22 16:46:40,2022-02-22 17:33:52,IP Address,68.181.17.195,100,2831,True,2022-02-22 17:33:52,R_11haBU18i7cX91j,,,,,34.0446929931641,-118.29460144043,anonymous,EN,23,Female,,4-7 assemblies,4 (Somewhat),4 (Somewhat),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),7 (Highly familiar),5,1 (No effort at all),3,1 (No effort at all),2,1 (No effort at all),6,1 (No effort at all),2,1 (No effort at all),1 (No effort at all),2,4,Short wire easier than long wire. Wires require less physical effort than bolts (especially long bolt). Short bolt easier than long bolt. Get wires out of the way.,Yes,No,Yes,No,Wires was easier i part because its famliar.,,6,7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),7 (Highly familar),6,7 (Highly familar),4,5,1 (No effort at all),2,3,1 (No effort at all),1 (No effort at all),1 (No effort at all),4,1 (No effort at all),1 (No effort at all),2,2,1 (No effort at all),1 (No effort at all),1 (No effort at all),Tail wing was simplest. Main wing had more bolts than tail wing but not intricate. Propeller at the end as it had small parts (intricate). Screw after insert so that part doesn't move.,Yes,No,No,Yes,Wings first as it can balance the body.,Balancing on wings.,3,5,56517,74560
2022-02-24 16:19:53,2022-02-24 17:34:56,IP Address,68.181.17.195,100,4503,True,2022-02-24 17:34:57,R_86C6Sxy9QrrOgwN,,,,,34.0446929931641,-118.29460144043,anonymous,EN,22,Female,,More than 8 assemblies,6,6,6,6,6,6,4,4,3,4,3,4,3,3,3,3,3,3,4,4,"Insert long and short wires in the correctt configuratoin (tedious). insert and screw short screw (don't want screw to stick), insert and screw long screw",Yes,Yes,No,No,I did the wire force because it was more physically and mentally tedious,n/a,5,6,5,6,7 (Highly familar),7 (Highly familar),5,5,3,2,3,2,2,1 (No effort at all),2,2,2,3,2,3,1 (No effort at all),1 (No effort at all),2,2,"propellers (smaller so better to get it ready), tail and screw, main wing and screw, hub (which may in the way of the wings)",Yes,No,No,Yes,Actions that impacted other Actions like screwing in components so that they didn't fall out were done together. I did the propeller first because it seemed the most tedious. Physical effort relates to keeping together and stable.,"the gloves made my dextarity worse so I kept droping items, which took longer so I ended up putting the crews in a slightly different order than I anticipated. ",4,3,18610,57774
